Date,Impressions (organic),Impressions (sponsored),Impressions (total),Unique impressions (organic),Clicks (organic),Clicks (sponsored),Clicks (total),Reactions (organic),Reactions (sponsored),Reactions (total),Comments (organic),Comments (sponsored),Comments (total),Reposts (organic),Reposts (sponsored),Reposts (total),Engagement rate (organic),Engagement rate (sponsored),Engagement rate (total)
12/21/2024,593,0,593,179,163,0,163,3,0,3,0,0,0,0,0,0,0.2799325463743676,0,0.2799325463743676
12/22/2024,532,0,532,167,50,0,50,1,0,1,0,0,0,0,0,0,0.09586466165413533,0,0.09586466165413533
12/23/2024,672,0,672,179,82,0,82,4,0,4,1,0,1,0,0,0,0.12946428571428573,0,0.12946428571428573
12/24/2024,1320,0,1320,430,338,0,338,13,0,13,0,0,0,0,0,0,0.26590909090909093,0,0.26590909090909093
12/25/2024,515,0,515,203,114,0,114,6,0,6,0,0,0,0,0,0,0.23300970873786409,0,0.23300970873786409
12/26/2024,1429,0,1429,495,193,0,193,30,0,30,1,0,1,0,0,0,0.15675297410776767,0,0.15675297410776767
12/27/2024,645,0,645,245,91,0,91,18,0,18,0,0,0,0,0,0,0.16899224806201552,0,0.16899224806201552
12/28/2024,517,0,517,184,101,0,101,2,0,2,0,0,0,0,0,0,0.19922630560928434,0,0.19922630560928434
12/29/2024,411,0,411,122,52,0,52,4,0,4,0,0,0,0,0,0,0.1362530413625304,0,0.1362530413625304
12/30/2024,329,0,329,104,19,0,19,6,0,6,0,0,0,0,0,0,0.07598784194528875,0,0.07598784194528875
12/31/2024,392,0,392,83,38,0,38,2,0,2,0,0,0,0,0,0,0.10204081632653061,0,0.10204081632653061
01/01/2025,538,0,538,309,29,0,29,27,0,27,0,0,0,0,0,0,0.10408921933085502,0,0.10408921933085502
01/02/2025,1193,0,1193,374,122,0,122,21,0,21,1,0,1,1,0,1,0.12154233025984912,0,0.12154233025984912
01/03/2025,1867,0,1867,541,605,0,605,48,0,48,0,0,0,3,0,3,0.3513658275307981,0,0.3513658275307981
01/04/2025,849,0,849,329,279,0,279,19,0,19,0,0,0,0,0,0,0.3510011778563015,0,0.3510011778563015
01/05/2025,542,0,542,193,139,0,139,9,0,9,0,0,0,0,0,0,0.2730627306273063,0,0.2730627306273063
01/06/2025,559,0,559,181,203,0,203,10,0,10,0,0,0,0,0,0,0.3810375670840787,0,0.3810375670840787
01/07/2025,2889,0,2889,1123,1036,0,1036,69,0,69,1,0,1,1,0,1,0.38317757009345793,0,0.38317757009345793
01/08/2025,1347,0,1347,398,312,0,312,25,0,25,0,0,0,0,0,0,0.2501855976243504,0,0.2501855976243504
01/09/2025,1487,0,1487,534,250,0,250,38,0,38,0,0,0,0,0,0,0.1936785474108944,0,0.1936785474108944
01/10/2025,664,0,664,216,136,0,136,15,0,15,0,0,0,0,0,0,0.22740963855421686,0,0.22740963855421686
01/11/2025,822,0,822,193,118,0,118,7,0,7,0,0,0,0,0,0,0.15206812652068127,0,0.15206812652068127
