Date,Sponsored followers,Organic followers,Auto-invited followers,Total followers
12/21/2024,0,5,0,5
12/22/2024,0,3,0,3
12/23/2024,0,7,0,7
12/24/2024,0,4,0,4
12/25/2024,0,3,0,3
12/26/2024,0,2,0,2
12/27/2024,0,1,0,1
12/28/2024,0,8,0,8
12/29/2024,0,0,0,0
12/30/2024,0,5,0,5
12/31/2024,0,3,0,3
01/01/2025,0,3,0,3
01/02/2025,0,5,0,5
01/03/2025,0,11,0,11
01/04/2025,0,3,0,3
01/05/2025,0,3,0,3
01/06/2025,0,7,0,7
01/07/2025,0,11,0,11
01/08/2025,0,7,0,7
01/09/2025,0,14,0,14
01/10/2025,0,9,0,9
01/11/2025,0,6,0,6
01/12/2025,0,3,0,3
01/13/2025,0,15,0,15
01/14/2025,0,7,0,7
01/15/2025,0,8,0,8
01/16/2025,0,12,0,12
01/17/2025,0,2,0,2
01/18/2025,0,-1,0,-1
01/19/2025,0,1,0,1
01/20/2025,0,10,0,10
01/21/2025,0,6,0,6
01/22/2025,0,19,0,19
01/23/2025,0,5,0,5
01/24/2025,0,-1,0,-1
01/25/2025,0,3,0,3
01/26/2025,0,1,0,1
01/27/2025,0,2,0,2
01/28/2025,0,13,0,13
01/29/2025,0,9,0,9
01/30/2025,0,7,0,7
01/31/2025,0,5,0,5
02/01/2025,0,4,0,4
02/02/2025,0,4,0,4
02/03/2025,0,2,0,2
02/04/2025,0,4,0,4
02/05/2025,0,8,0,8
02/06/2025,0,55,0,55
02/07/2025,0,9,0,9
02/08/2025,0,3,0,3
02/09/2025,0,5,0,5
02/10/2025,0,6,0,6
02/11/2025,0,13,0,13
02/12/2025,0,6,0,6
02/13/2025,0,10,0,10
02/14/2025,0,11,0,11
02/15/2025,0,6,0,6
02/16/2025,0,7,0,7
02/17/2025,0,2,0,2
02/18/2025,0,9,0,9
02/19/2025,0,6,0,6
02/20/2025,0,9,0,9
02/21/2025,0,4,0,4
02/22/2025,0,2,0,2
02/23/2025,0,8,0,8
02/24/2025,0,0,0,0
02/25/2025,0,6,0,6
02/26/2025,0,7,0,7
02/27/2025,0,9,0,9
02/28/2025,0,5,0,5
03/01/2025,0,3,0,3
03/02/2025,0,7,0,7
03/03/2025,0,7,0,7
03/04/2025,0,7,0,7
03/05/2025,0,7,0,7
03/06/2025,0,10,0,10
03/07/2025,0,4,0,4
03/08/2025,0,6,0,6
03/09/2025,0,2,0,2
03/10/2025,0,3,0,3
03/11/2025,0,10,0,10
03/12/2025,0,4,0,4
03/13/2025,0,6,0,6
03/14/2025,0,11,0,11
03/15/2025,0,4,0,4
03/16/2025,0,4,0,4
03/17/2025,0,14,0,14
03/18/2025,0,9,0,9
03/19/2025,0,6,0,6
03/20/2025,0,9,0,9
03/21/2025,0,9,0,9
03/22/2025,0,6,0,6
03/23/2025,0,1,0,1
03/24/2025,0,11,0,11
03/25/2025,0,7,0,7
03/26/2025,0,14,0,14
03/27/2025,0,11,0,11
03/28/2025,0,8,0,8
03/29/2025,0,4,0,4
03/30/2025,0,7,0,7
03/31/2025,0,17,0,17
04/01/2025,0,7,0,7
04/02/2025,0,17,0,17
04/03/2025,0,18,0,18
04/04/2025,0,10,0,10
04/05/2025,0,2,0,2
04/06/2025,0,3,0,3
04/07/2025,0,7,0,7
04/08/2025,0,10,0,10
04/09/2025,0,4,0,4
04/10/2025,0,7,0,7
04/11/2025,0,9,0,9
04/12/2025,0,1,0,1
04/13/2025,0,4,0,4
04/14/2025,0,7,0,7
04/15/2025,0,28,0,28
04/16/2025,0,13,0,13
04/17/2025,0,6,0,6
04/18/2025,0,4,0,4
04/19/2025,0,2,0,2
04/20/2025,0,3,0,3
04/21/2025,0,9,0,9
04/22/2025,0,3,0,3
04/23/2025,0,4,0,4
04/24/2025,0,6,0,6
04/25/2025,0,6,0,6
04/26/2025,0,18,0,18
04/27/2025,0,9,0,9
04/28/2025,0,12,0,12
04/29/2025,0,7,0,7
04/30/2025,0,4,0,4
05/01/2025,0,5,0,5
05/02/2025,0,5,0,5
05/03/2025,0,5,0,5
05/04/2025,0,6,0,6
05/05/2025,0,4,0,4
05/06/2025,0,8,0,8
05/07/2025,0,8,0,8
05/08/2025,0,1,0,1
05/09/2025,0,6,0,6
05/10/2025,0,8,0,8
05/11/2025,0,5,0,5
05/12/2025,0,22,0,22
05/13/2025,0,34,0,34
05/14/2025,0,5,0,5
05/15/2025,0,30,0,30
05/16/2025,0,45,0,45
05/17/2025,0,9,0,9
05/18/2025,0,10,0,10
05/19/2025,0,-1,0,-1
05/20/2025,0,48,0,48
05/21/2025,0,23,0,23
05/22/2025,0,9,0,9
05/23/2025,0,19,0,19
05/24/2025,0,6,0,6
05/25/2025,0,6,0,6
05/26/2025,0,0,0,0
05/27/2025,0,5,0,5
05/28/2025,0,2,0,2
05/29/2025,0,9,0,9
05/30/2025,0,5,0,5
05/31/2025,0,3,0,3
06/01/2025,0,0,0,0
06/02/2025,0,12,0,12
