"Date","Page views","Site sessions","Unique visitors","Bounce rate","Avg. session duration"
"22/12/2025","8","5","5","60%","35s"
"21/12/2025","12","10","10","80%","1m, 19s"
"20/12/2025","45","23","21","70%","4m, 26s"
"19/12/2025","64","40","36","58%","53s, 389ms"
"18/12/2025","116","64","52","66%","1m, 16s"
"17/12/2025","102","66","55","71%","2m, 1s"
"16/12/2025","164","63","49","41%","2m, 22s"
"15/12/2025","101","56","50","64%","2m, 24s"
"14/12/2025","37","25","19","72%","2m, 14s"
"13/12/2025","65","32","28","53%","1m, 31s"
"12/12/2025","111","58","53","62%","2m, 3s"
"11/12/2025","94","58","45","67%","1m, 53s"
"10/12/2025","134","69","61","58%","1m, 19s"
"9/12/2025","154","70","57","51%","3m, 21s"
"8/12/2025","203","103","80","59%","2m, 46s"
"7/12/2025","28","14","14","57%","3m, 48s"
"6/12/2025","45","18","18","56%","2m, 20s"
"5/12/2025","125","69","57","59%","3m, 31s"
"4/12/2025","110","64","54","67%","2m, 1s"
"3/12/2025","114","52","39","50%","2m, 18s"
"2/12/2025","127","69","63","59%","2m, 11s"
"1/12/2025","117","66","54","71%","2m, 50s"
"30/11/2025","34","18","16","61%","1m, 9s"
"29/11/2025","49","25","25","64%","2m, 36s"
"28/11/2025","128","68","62","62%","3m, 54s"
"27/11/2025","160","82","67","63%","3m, 35s"
"26/11/2025","511","199","172","50%","2m, 46s"
"25/11/2025","118","71","50","61%","2m, 43s"
"24/11/2025","141","56","46","46%","4m, 5s"
"23/11/2025","37","25","22","80%","10m, 40s"
"22/11/2025","35","16","16","44%","48s, 111ms"
"21/11/2025","145","72","60","67%","2m, 36s"
"20/11/2025","134","67","53","55%","2m, 53s"
"19/11/2025","166","71","60","61%","2m, 44s"
"18/11/2025","153","81","69","68%","4m, 49s"
"17/11/2025","133","55","43","56%","3m, 32s"
"16/11/2025","41","25","24","64%","1m, 59s"
"15/11/2025","37","14","12","57%","1m, 29s"
"14/11/2025","272","61","45","51%","5m, 46s"
"13/11/2025","235","91","67","58%","3m, 41s"
"12/11/2025","171","70","55","66%","5m, 3s"
"11/11/2025","315","74","56","45%","5m, 23s"
"10/11/2025","89","15","7","13%","7m, 14s"
"7/11/2025","67","15","9","20%","6m, 5s"
"6/11/2025","94","20","7","45%","11m, 9s"
"5/11/2025","62","14","5","71%","6m, 43s"
"4/11/2025","21","8","4","50%","5m, 3s"
"3/11/2025","24","6","1","0%","5m, 3s"
"31/10/2025","8","5","3","60%","1m, 29s"
"30/10/2025","6","5","3","80%","42s"
"28/10/2025","17","6","2","67%","6m, 5s"
"17/10/2025","3","2","2","50%","12s"
"15/10/2025","4","2","1","0%","29s, 500ms"
"14/10/2025","9","3","2","67%","28m, 7s"
"13/10/2025","12","7","4","71%","1m, 4s"
"9/10/2025","1","1","1","100%",
"8/10/2025","17","7","2","71%","3m, 27s"
"7/10/2025","3","3","2","100%",
"29/9/2025","1","1","1","100%",
"24/9/2025","1","1","1","100%",
"12/9/2025","1","1","1","100%",
"11/9/2025","2","2","1","100%",
"10/9/2025","6","3","1","67%","8m, 33s"
"9/9/2025","1","1","1","100%",
